"Address","Street","Site ID","Latitude","Longitude","Inspection Date","Remote ID","Site Comments","Site Last Changed By","Site Change Date","Site Change Time","Species","Diameter","Aldermanic District","ArchivedSites_Remote_ID","Condition","DRG Updated","Forestry District","Grate","Growthspace Size","Overhead Utilities","Parcel Number","Primary Maintenance","Property Use","Solid Waste District SubArea","Status","TIF","TRAQ-Consequence","TRAQ-Likelihood of Failure","TRAQ-Likelihood of Failure and Impact","TRAQ-Likelihood of Impacting Target","TRAQ-Risk Rating","Terrace Support System","Tree Guard","Utilities Present"
1859,"Aberg Ave",628569,43.1141516893,-89.3601313019,"1/17/2024","KySc20240117104630","","Kyle Schansberg (DRG)","1/17/2024","10:46:48","Japanese Tree Lilac (Syringa reticulata)",2,12,"","Fair","Yes","6","N/A","6'-7'","Present","081031300750","Unassigned",,"9-123","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
1859,"Aberg Ave",628572,43.1141516893,-89.3602878849,"1/17/2024","KySc20240117104704","","Kyle Schansberg (DRG)","1/17/2024","10:47:17","Crab Apple Spp. (Malus x Species)",2,12,"","Good","Yes","6","N/A","6'-7'","Present","081031300750","Unassigned",,"9-123","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
1859,"Aberg Ave",628573,43.1140084801,-89.3592115613,"1/17/2024","KySc20240117125828","","Kyle Schansberg (DRG)","1/17/2024","12:59:05","Vacant (Vacant)",0,12,"","N/A","Yes","6","N/A","8'+","Not Present","081031300750","Plant Tree",,"9-123","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
1859,"Aberg Ave",628576,43.1137442667,-89.3591576556,"1/17/2024","KySc20240117125939","","Kyle Schansberg (DRG)","1/17/2024","12:59:52","Vacant (Vacant)",0,12,"","N/A","Yes","6","N/A","8'+","Not Present","081031300750","Plant Tree",,"9-123","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
1859,"Aberg Ave",628580,43.1138566981,-89.3591824693,"1/17/2024","KySc20240117130016","","Kyle Schansberg (DRG)","1/17/2024","13:00:23","Vacant (Vacant)",0,12,"","N/A","Yes","6","N/A","8'+","Not Present","081031300750","Plant Tree",,"9-123","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
1901,"Aberg Ave",628559,43.1136118472,-89.3589343323,"1/17/2024","KySc20240117125154","","Kyle Schansberg (DRG)","1/17/2024","12:53:11","Kentucky Coffeetree (Gymnocladus dioicus)",2,12,"","Good","Yes","6","N/A","5'-6'","Not Present","081031304017","Unassigned",,"9-123","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
1901,"Aberg Ave",628563,43.1137280266,-89.3589600017,"1/17/2024","KySc20240117125447","","Kyle Schansberg (DRG)","1/17/2024","12:54:58","American Basswood (Tilia americana)",2,12,"","Good","Yes","6","N/A","5'-6'","Not Present","081031304017","Unassigned",,"9-123","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
1901,"Aberg Ave",628567,43.1138517011,-89.3589890936,"1/17/2024","KySc20240117125511","","Kyle Schansberg (DRG)","1/17/2024","12:55:22","Kentucky Coffeetree (Gymnocladus dioicus)",2,12,"","Good","Yes","6","N/A","5'-6'","Not Present","081031304017","Unassigned",,"9-123","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
1902,"Aberg Ave",421756,43.1142736554,-89.3588594902,"8/31/2009","Tree_018736","Cracks","Dean Kahl","2/2/2024","09:12:37","Littleleaf Linden (Tilia cordata)",24,12,"30248","Unassigned","Yes","4","N/A","6'-7'","Present","081031225073","Unassigned","Single family","9-125","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","Electric"
1902,"Aberg Ave",421761,43.1143468398,-89.359055863,"8/31/2009","Tree_018737","","Kyle Schansberg (DRG)","1/17/2024","08:58:12","Honeylocust Var. (Gleditsia triacanthos Variant)",31,12,"30249","Fair","Yes","4","N/A","8'+","Present","081031225073","Unassigned","Single family","9-125","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","Electric"
1902,"Aberg Ave",421775,43.1142712858,-89.3586649386,"8/31/2009","Tree_018759","Cracks","Dean Kahl","2/2/2024","09:12:37","Littleleaf Linden (Tilia cordata)",22,12,"30247","Unassigned","Yes","4","N/A","6'-7'","Present","081031225073","Unassigned","Single family","9-125","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","Electric"
1909,"Aberg Ave",628550,43.1141360739,-89.3581898438,"1/17/2024","KySc20240117104141","","Kyle Schansberg (DRG)","1/17/2024","10:42:08","Crab Apple Spp. (Malus x Species)",2,12,"","Good","Yes","6","N/A","6'-7'","Present","081031304025","Unassigned",,"9-123","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
2003,"Aberg Ave",628510,43.1137030545,-89.3546256625,"1/17/2024","KySc20240117093439","","Kyle Schansberg (DRG)","1/17/2024","09:35:07","White Pine (Pinus strobus)",7,12,"","Fair","Yes","4","N/A","Open","Not Present","081031301097","Unassigned",,"9-121","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
2003,"Aberg Ave",628513,43.1136849405,-89.354658177,"1/17/2024","KySc20240117093515","","Kyle Schansberg (DRG)","1/17/2024","09:35:51","Austrian Pine (Pinus nigra)",7,12,"","Fair","Yes","4","N/A","Open","Not Present","081031301097","Unassigned",,"9-121","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
2003,"Aberg Ave",628517,43.1136468387,-89.3545837359,"1/17/2024","KySc20240117093606","","Kyle Schansberg (DRG)","1/17/2024","09:36:26","Amur Maple (Acer ginnala)",12,12,"","Fair","Yes","4","N/A","Open","Not Present","081031301097","Unassigned",,"9-121","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
2003,"Aberg Ave",628521,43.1136112353,-89.3545803133,"1/17/2024","KySc20240117093632","","Kyle Schansberg (DRG)","1/17/2024","09:36:59","Amur Maple (Acer ginnala)",12,12,"","Fair","Yes","4","N/A","Open","Not Present","081031301097","Unassigned",,"9-121","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
2020,"Aberg Ave",628668,43.11425752,-89.3569578219,"1/17/2024","KySc20240117091605","","Kyle Schansberg (DRG)","1/17/2024","09:16:19","Vacant (Vacant)",0,12,"","N/A","Yes","4","N/A","6'-7'","Present","081031224447","Plant Tree",,"9-125","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
2102,"Aberg Ave",628673,43.114505061,-89.3562907473,"1/17/2024","KySc20240117092405","","Kyle Schansberg (DRG)","1/17/2024","09:24:26","Silver Maple (Acer saccharinum)",29,12,"","Fair","Yes","4","N/A","Open","Present","081031224108","Unassigned",,"9-125","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
2102,"Aberg Ave",628675,43.1143976277,-89.3563070046,"1/17/2024","KySc20240117092435","","Kyle Schansberg (DRG)","1/17/2024","09:24:52","Sugar Maple (Acer saccharum)",13,12,"","Fair","Yes","4","N/A","Open","Present","081031224108","Unassigned",,"9-125","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
2106,"Aberg Ave",628677,43.1142464713,-89.3561427208,"1/17/2024","KySc20240117092504","","Kyle Schansberg (DRG)","1/17/2024","09:25:23","Vacant (Vacant)",0,12,"","N/A","Yes","4","N/A","8'+","Present","081031224116","Plant Tree",,"9-125","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
1,"Abilene Ct",409703,43.0181545941,-89.511735572,"8/22/2008","Tree_006728","","Anna Bonde (DRG)","2/1/2024","15:19:59","Freeman Maple (Acer freemanii)",14,7,"19756","Fair","Yes","25","N/A","6'-7'","Not Present","060802413398","Unassigned","Single family","4-194","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
2,"Abilene Ct",479863,43.0184386795,-89.5118385222,"9/17/2012","Tree_069181","","Anna Bonde (DRG)","2/1/2024","15:18:49","Kentucky Coffeetree (Gymnocladus dioicus)",10,7,"108757","Good","Yes","25","N/A","7'-8'","Not Present","060802413322","Unassigned","Single family","4-194","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
205,"Acacia Ln",459752,43.0591663297,-89.3238123707,"8/8/2012","Tree_056584","","Kyle Schansberg (DRG)","12/21/2023","08:07:57","Pear 'Autumn Blaze' (Pyrus calleryana 'Autumn Blaze')",9,15,"106355","Good","Yes","12","N/A","Open","Not Present","071021215118","Unassigned","Single family","1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
305,"Acacia Ln",623215,43.0591943787,-89.3226695155,"12/21/2023","KySc20231221144617","","Kyle Schansberg (DRG)","12/21/2023","14:46:47","Littleleaf Linden (Tilia cordata)",5,15,"","Good","Yes","12","N/A","Open","Not Present","071021214235","Unassigned",,"1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
309,"Acacia Ln",432648,43.0592019134,-89.3224790424,"11/6/2009","Tree_029468","","Kyle Schansberg (DRG)","12/21/2023","14:47:24","Sugar Maple (Acer saccharum)",23,15,"48519","Fair","Yes","12","N/A","Open","Not Present","071021214227","Unassigned","Single family","1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
313,"Acacia Ln",623219,43.0592087577,-89.322037194,"12/21/2023","KySc20231221144751","","Kyle Schansberg (DRG)","12/21/2023","14:48:17","Elm Spp. (Hybrid) (Ulmus x Species)",4,15,"","Good","Yes","12","N/A","Open","Not Present","071021214219","Unassigned",,"1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
400,"Acacia Ln",432636,43.0593359855,-89.3215227224,"11/6/2009","Tree_029496","","Kyle Schansberg (DRG)","12/21/2023","15:08:16","Norway Maple (Acer platanoides)",16,15,"48525","Fair","Yes","12","N/A","Open","Present","071021207066","Unassigned","Single family","1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
400,"Acacia Ln",623246,43.0593274374,-89.3217119869,"12/21/2023","KySc20231221150821","","Kyle Schansberg (DRG)","12/21/2023","15:08:43","Elm Spp. (Hybrid) (Ulmus x Species)",4,15,"","Good","Yes","12","N/A","Open","Present","071021207066","Unassigned",,"1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
401,"Acacia Ln",472625,43.0592096746,-89.3218465527,"11/13/2013","Tree_070440","","Kyle Schansberg (DRG)","12/21/2023","14:48:46","Linden 'American Sentry' (Tilia americana 'McSentry')",9,15,"111677","Fair","Yes","12","N/A","Open","Not Present","071021214201","Unassigned","Single family","1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
408,"Acacia Ln",432969,43.0595544888,-89.3210156591,"11/6/2009","Tree_029789","","Kyle Schansberg (DRG)","12/21/2023","15:06:54","White Pine (Pinus strobus)",25,15,"48529","Fair","Yes","12","N/A","Open","Not Present","071021207074","Unassigned","Single family","1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
413,"Acacia Ln",432655,43.0592117374,-89.3210735294,"11/6/2009","Tree_029485","","Kyle Schansberg (DRG)","12/21/2023","14:49:48","Colorado Spruce (Picea pungens)",16,15,"48516","Fair","Yes","12","N/A","Open","Not Present","071021214178","Unassigned","Single family","1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
413,"Acacia Ln",623222,43.0592312641,-89.3209291339,"12/21/2023","KySc20231221145019","","Kyle Schansberg (DRG)","12/21/2023","14:50:35","Honeylocust Var. (Gleditsia triacanthos Variant)",2,15,"","Good","Yes","12","N/A","Open","Not Present","071021214178","Unassigned",,"1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
509,"Acacia Ln",623226,43.0592374122,-89.3203797481,"12/21/2023","KySc20231221145132","","Kyle Schansberg (DRG)","12/21/2023","14:51:46","Vacant (Vacant)",0,15,"","N/A","Yes","12","N/A","Open","Not Present","071021214152","Plant Tree",,"1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
604,"Acacia Ln",623158,43.0593824328,-89.3190774109,"12/21/2023","KySc20231221124248","","Kyle Schansberg (DRG)","12/21/2023","12:43:10","Pear  Callery Spp. (Pyrus calleryana)",5,15,"","Good","Yes","12","N/A","Open","Not Present","071021209070","Unassigned",,"1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
604,"Acacia Ln",623162,43.059386809,-89.3189028593,"12/21/2023","KySc20231221124316","","Kyle Schansberg (DRG)","12/21/2023","12:43:38","Hackberry (Celtis occidentalis)",5,15,"","Good","Yes","12","N/A","Open","Not Present","071021209070","Unassigned",,"1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
604,"Acacia Ln",623166,43.059393686,-89.3187188957,"12/21/2023","KySc20231221124347","","Kyle Schansberg (DRG)","12/21/2023","12:44:10","Kentucky Coffeetree (Gymnocladus dioicus)",4,15,"","Good","Yes","12","N/A","Open","Not Present","071021209070","Unassigned",,"1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
604,"Acacia Ln",623235,43.059527473,-89.3186033835,"12/21/2023","KySc20231221131616","","Kyle Schansberg (DRG)","12/21/2023","13:16:48","Chinkapin Oak (Quercus muehlenbergii)",5,15,"","Fair","Yes","12","N/A","Open","Not Present","071021209070","Unassigned",,"1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
605,"Acacia Ln",623136,43.059273319,-89.3187585342,"12/21/2023","KySc20231221113218","","Kyle Schansberg (DRG)","12/21/2023","11:32:37","Hackberry (Celtis occidentalis)",5,15,"","Fair","Yes","12","N/A","Open","Not Present","071021213203","Unassigned",,"1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
605,"Acacia Ln",623139,43.0592720686,-89.3189219623,"12/21/2023","KySc20231221113259","","Kyle Schansberg (DRG)","12/21/2023","11:33:15","American Basswood (Tilia americana)",4,15,"","Good","Yes","12","N/A","Open","Not Present","071021213203","Unassigned",,"1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
609,"Acacia Ln",623133,43.0592792759,-89.3185569612,"12/21/2023","KySc20231221113123","","Kyle Schansberg (DRG)","12/21/2023","11:31:40","Hackberry (Celtis occidentalis)",5,15,"","Good","Yes","12","N/A","Open","Not Present","071021213196","Unassigned",,"1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
701,"Acacia Ln",623275,43.0592861528,-89.3182985565,"12/21/2023","KySc20231221113016","","Kyle Schansberg (DRG)","12/21/2023","11:30:42","Pear  Callery Spp. (Pyrus calleryana)",4,15,"","Good","Yes","12","N/A","Open","Not Present","071021213188","Unassigned",,"1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
705,"Acacia Ln",432690,43.059286778,-89.3179922356,"11/6/2009","Tree_029503","","Kyle Schansberg (DRG)","12/21/2023","11:28:51","Norway Maple (Acer platanoides)",24,15,"48586","Fair","Yes","12","N/A","Open","Not Present","071021213170","Unassigned","Single family","1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
705,"Acacia Ln",432707,43.0592680228,-89.3181650758,"11/6/2009","Tree_029508","","Kyle Schansberg (DRG)","12/21/2023","11:29:51","Silver Maple (Acer saccharinum)",32,15,"48587","Fair","Yes","12","N/A","Open","Not Present","071021213170","Unassigned","Single family","1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
706,"Acacia Ln",623273,43.0593993094,-89.3181590863,"12/21/2023","KySc20231221112807","","Kyle Schansberg (DRG)","12/21/2023","11:28:36","London Planetree 'Exclamation' (Platanus acerfolia 'Morton Circle')",7,15,"","Fair","Yes","12","N/A","Open","Not Present","071021212015","Unassigned",,"1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
708,"Acacia Ln",623264,43.0594124381,-89.3177167179,"12/21/2023","KySc20231221112612","","Kyle Schansberg (DRG)","12/21/2023","11:26:37","Kentucky Coffeetree (Gymnocladus dioicus)",3,15,"","Good","Yes","12","N/A","Open","Not Present","071021212023","Unassigned",,"1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
708,"Acacia Ln",623268,43.059404936,-89.3179631436,"12/21/2023","KySc20231221112655","","Kyle Schansberg (DRG)","12/21/2023","11:27:21","Hackberry (Celtis occidentalis)",5,15,"","Good","Yes","12","N/A","Open","Not Present","071021212023","Unassigned",,"1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
709,"Acacia Ln",623259,43.0592811515,-89.317625164,"12/21/2023","KySc20231221112441","","Dean Kahl","2/2/2024","09:12:37","Norway Maple (Acer platanoides)",25,15,"","Unassigned","Yes","12","N/A","Open","Not Present","071021213162","Unassigned",,"1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
800,"Acacia Ln",623252,43.0594218157,-89.3174720035,"12/21/2023","KySc20231221112214","","Kyle Schansberg (DRG)","12/21/2023","11:22:28","Vacant (Vacant)",0,15,"","N/A","Yes","12","N/A","Open","Not Present","071021212031","Plant Tree",,"1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
801,"Acacia Ln",623248,43.0593017822,-89.3174223761,"12/21/2023","KySc20231221112137","","Kyle Schansberg (DRG)","12/21/2023","11:22:00","Kentucky Coffeetree (Gymnocladus dioicus)",4,15,"","Good","Yes","12","N/A","Open","Not Present","071021213154","Unassigned",,"1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
801,"Acacia Ln",623256,43.0592811515,-89.3175515785,"12/21/2023","KySc20231221112400","","Kyle Schansberg (DRG)","12/21/2023","11:24:16","Silver Maple (Acer saccharinum)",20,15,"","Fair","Yes","12","N/A","Open","Not Present","071021213154","Unassigned",,"1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
804,"Acacia Ln",472586,43.0594236912,-89.317102365,"11/13/2013","Tree_070433","","Kyle Schansberg (DRG)","12/21/2023","11:20:26","Hackberry (Celtis occidentalis)",10,15,"111678","Fair","Yes","12","N/A","Open","Not Present","071021212049","Unassigned","Single family","1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
805,"Acacia Ln",623243,43.0593055333,-89.3171186223,"12/21/2023","KySc20231221112046","","Kyle Schansberg (DRG)","12/21/2023","11:21:04","Honeylocust Var. (Gleditsia triacanthos Variant)",3,15,"","Good","Yes","12","N/A","Open","Not Present","071021213146","Unassigned",,"1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
808,"Acacia Ln",623214,43.0596140157,-89.3164501198,"12/21/2023","KySc20231221110807","","Kyle Schansberg (DRG)","12/21/2023","11:08:36","Honeylocust Var. (Gleditsia triacanthos Variant)",4,15,"","Good","Yes","12","N/A","6'-7'","Not Present","071021212057","Unassigned",,"1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
809,"Acacia Ln",623218,43.0591820207,-89.3164312956,"12/21/2023","KySc20231221110922","","Kyle Schansberg (DRG)","12/21/2023","11:09:51","Hackberry (Celtis occidentalis)",3,15,"","Good","Yes","12","N/A","6'-7'","Not Present","071021213138","Unassigned",,"1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
809,"Acacia Ln",623223,43.0590513588,-89.3164235948,"12/21/2023","KySc20231221111004","","Kyle Schansberg (DRG)","12/21/2023","11:10:25","American Basswood (Tilia americana)",3,15,"","Good","Yes","12","N/A","6'-7'","Not Present","071021213138","Unassigned",,"1-45","Active",0,"N/A","N/A","N/A","N/A","N/A","N/A","No ","None"
